Yucca glauca,Great Plains yucca,3615
Aquilegia coerulea,blue columbine,3453
Callospermophilus lateralis,Golden-mantled Ground Squirrel,2757
Cynomys ludovicianus,Black-tailed Prairie Dog,2593
Calochortus gunnisonii,Gunnison's Mariposa Lily,2589
Pulsatilla nuttalliana,prairie pasqueflower,2478
Leucocrinum montanum,common starlily,2237
Argemone polyanthemos,thistle poppy,2221
Carduus nutans,musk thistle,2218
Anaxyrus woodhousii,Woodhouse's Toad,2178
Lupinus argenteus,silvery lupine,2010
Selasphorus platycercus,Broad-tailed Hummingbird,1997
Liatris punctata,dotted gayfeather,1925
Sphaeralcea coccinea,Scarlet Globemallow,1885
Quercus gambelii,Gambel Oak,1874
Juniperus scopulorum,Rocky Mountain Juniper,1835
Cercocarpus montanus,Alderleaf Mountain Mahogany,1830
Artemisia frigida,fringed sagebrush,1820
Medicago sativa,Alfalfa,1808
Mertensia ciliata,mountain bluebells,1806
Erysimum capitatum,Western Wallflower,1772
Hyles lineata,White-lined Sphinx,1724
Pediocactus simpsonii,Mountain Ball Cactus,1722
Frasera speciosa,monument plant,1703
Geranium caespitosum,pinewoods geranium,1672
Penstemon whippleanus,Whipple's penstemon,1623
Geranium richardsonii,Richardson's geranium,1619
Rumex crispus,curly dock,1545
Grindelia squarrosa,Curlycup Gumweed,1512
Bombus huntii,Hunt's Bumble Bee,1428
Mertensia lanceolata,Prairie Bluebells,1404
Castilleja rhexiifolia,Rhexia-leaf Indian-paintbrush,1396
Penstemon virens,Front Range Beardtongue,1390
Sceloporus consobrinus,Prairie Lizard,1386
Prunus americana,American plum,1378
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,1362
Cleomella serrulata,Rocky Mountain Beeplant,1359
Castilleja integra,Wholeleaf Paintbrush,1339
Bromus inermis,Smooth Brome,1326
Crotalus viridis,Prairie Rattlesnake,1310
Oxytropis lambertii,Lambert's Locoweed,1285
Rubus deliciosus,Rocky Mountain raspberry,1227
Helianthus annuus,Common Sunflower,1226
Ratibida columnifera,upright prairie coneflower,1219
Opuntia macrorhiza,prairie pricklypear,1215
Antilocapra americana,Pronghorn,1197
Neotamias minimus,Least Chipmunk,1196
Buteo swainsoni,Swainson's Hawk,1152
Vulpes vulpes,Red Fox,1127
Pinus edulis,Colorado Pinyon,1127
Gentiana parryi,Parry's gentian,1119
Sayornis saya,Say's Phoebe,1115
Danaus plexippus,Monarch,1110
Penstemon strictus,Rocky Mountain penstemon,1080
