Juniperus osteosperma,Utah Juniper,2232
Sceloporus tristichus,Plateau Fence Lizard,1887
Quercus gambelii,Gambel Oak,1885
Berberis repens,creeping mahonia,1656
Sceloporus graciosus,Common Sagebrush Lizard,1460
Acer negundo,boxelder,1325
Aspidoscelis tigris,Western Whiptail,1237
Otospermophilus variegatus,Rock Squirrel,1194
Boisea trivittata,Eastern Boxelder Bug,1152
Pinus edulis,Colorado Pinyon,1076
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,1052
Pyrrhocoris apterus,European Firebug,996
Acer grandidentatum,bigtooth maple,994
Amelanchier utahensis,Utah Serviceberry,956
Calochortus nuttallii,Sego Lily,955
Ephedra viridis,Green Ephedra,922
Antilocapra americana,Pronghorn,911
Populus fremontii,Fremont Cottonwood,905
Purshia stansburyana,Stansbury's Cliffrose,902
Rhus aromatica,fragrant sumac,901
Datura wrightii,Sacred Datura,876
Fraxinus anomala,single-leaf ash,844
Penstemon cyananthus,Wasatch Beardtongue,843
Castilleja linariifolia,Wyoming Paintbrush,819
Yucca angustissima,Narrowleaf Yucca,806
Bison bison,American Bison,790
Lupinus argenteus,silvery lupine,789
Medicago sativa,Alfalfa,785
Grindelia squarrosa,Curlycup Gumweed,784
Shepherdia rotundifolia,Roundleaf buffaloberry,763
Stanleya pinnata,Desert Prince's Plume,750
Aquilegia coerulea,blue columbine,744
Castilleja chromosa,Desert Paintbrush,739
Sclerocactus parviflorus,Smallflower Fishhook Cactus,719
Callospermophilus lateralis,Golden-mantled Ground Squirrel,689
Frasera speciosa,monument plant,688
Penstemon palmeri,Palmer's penstemon,679
Recurvirostra americana,American Avocet,678
Berberis fremontii,Fremont barberry,672
Hyles lineata,White-lined Sphinx,660
Gutierrezia sarothrae,Broom Snakeweed,660
Spinus psaltria,Lesser Goldfinch,660
Lepidium draba,Tall Whitetop,658
Pinus longaeva,Great Basin bristlecone pine,644
Abronia elliptica,Great Basin Sand Verbena,635
Euphorbia myrsinites,Donkey Tail,627
Astragalus utahensis,Utah Milkvetch,626
Sceloporus uniformis,Yellow-backed Spiny Lizard,626
Geranium richardsonii,Richardson's geranium,623
Latrodectus hesperus,Western Black Widow,614
Melanoplus differentialis,Differential Grasshopper,614
Archilochus alexandri,Black-chinned Hummingbird,610
Urocitellus armatus,Uinta Ground Squirrel,607
Neoscona oaxacensis,Western Spotted Orbweaver,604
Urosaurus ornatus,Ornate Tree Lizard,597
Neotamias umbrinus,Uinta Chipmunk,586
Atriplex canescens,Fourwing Saltbush,570
Abies concolor,white fir,570
Phrynosoma hernandesi,Greater Short-horned Lizard,562
Astragalus mollissimus,Woolly Locoweed,559
Danaus plexippus,Monarch,541
Helianthus annuus,Common Sunflower,541
Mertensia ciliata,mountain bluebells,540
Tyrannus verticalis,Western Kingbird,539
Petrophytum caespitosum,mat rock spiraea,528
Limenitis weidemeyerii,Weidemeyer's Admiral,525
Chrysothamnus viscidiflorus,Yellow Rabbitbrush,521
Quercus turbinella,Sonoran scrub oak,514
Heliomeris multiflora,showy goldeneye,509
Sphaeralcea coccinea,Scarlet Globemallow,501
Castilleja rhexiifolia,Rhexia-leaf Indian-paintbrush,500
Salmo trutta,Brown Trout,495
Bombus huntii,Hunt's Bumble Bee,489
Cleomella serrulata,Rocky Mountain Beeplant,479
Opuntia phaeacantha,Brown-spined Pricklypear,462
Plegadis chihi,White-faced Ibis,460
Artemisia filifolia,sand sagebrush,459
Bromus tectorum,Cheatgrass,458
Asclepias asperula,Antelopehorn Milkweed,458
Juniperus scopulorum,Rocky Mountain Juniper,450
Halogeton glomeratus,Saltlover,439
Packera multilobata,Lobeleaf Groundsel,435
Setophaga petechia,Yellow Warbler,433
Agastache urticifolia,nettle-leaf giant hyssop,428
Coleogyne ramosissima,Blackbrush,421
Polemonium foliosissimum,leafy Jacob's ladder,420
Opuntia aurea,Golden Pricklypear,419
Adiantum capillus-veneris,black maidenhair fern,413
Aphonopelma iodius,Desert Tarantula,410
Gambelia wislizenii,Long-nosed Leopard Lizard,406
Lactuca serriola,prickly lettuce,404
Tetramorium immigrans,Immigrant Pavement Ant,402
Isatis tinctoria,woad,399
Populus angustifolia,Narrowleaf Cottonwood,394
Coluber constrictor,North American Racer,393
Microcentrum rhombifolium,Greater Anglewing,392
Buteo swainsoni,Swainson's Hawk,387
Sayornis saya,Say's Phoebe,387
Eriocoma hymenoides,Sand Ricegrass,383
Pinus flexilis,limber pine,382
Sylvilagus audubonii,Desert Cottontail,380
Rumex hymenosepalus,Canaigre Dock,376
Icterus bullockii,Bullock's Oriole,373
Carduus nutans,musk thistle,368
Sialia currucoides,Mountain Bluebird,364
Ambystoma mavortium,Barred Tiger Salamander,364
Spatula cyanoptera,Cinnamon Teal,364
Tamarix ramosissima,saltcedar,362
Rumex crispus,curly dock,360
Anaxyrus woodhousii,Woodhouse's Toad,360
Scabrethia scabra,Badlands Mule-ears,357
Eleodes obscura,,353
Himantopus mexicanus,Black-necked Stilt,350
Rudbeckia occidentalis,western cone-flower,349
Symphoricarpos rotundifolius,Roundleaf Snowberry,349
Lunaria annua,Annual Honesty,345
Quiscalus mexicanus,Great-tailed Grackle,343
Nymphalis californica,California Tortoiseshell,342
Cercocarpus intricatus,Littleleaf Mountain Mahogany,342
Podiceps nigricollis,Eared Grebe,340
Eriogonum inflatum,Desert Trumpet,340
Cirsium arizonicum,Arizona thistle,339
Polyphylla decemlineata,Ten-lined June Beetle,336
Cercocarpus montanus,Alderleaf Mountain Mahogany,334
Pinus monophylla,singleleaf pinyon,334
Hedysarum boreale,Boreal Sweet-vetch,330
Yucca baccata,Banana Yucca,328
Podilymbus podiceps,Pied-billed Grebe,324
Castilleja scabrida,rough Indian paintbrush,324
Yucca harrimaniae,Dwarf Yucca,323
Sarcobatus vermiculatus,Greasewood,322
Anaxyrus punctatus,Red-spotted Toad,319
Aconitum columbianum,Columbian Monkshood,313
Oreocarya flava,Brenda's Yellow Cryptantha,311
Echinocereus engelmannii,Engelmann's Hedgehog Cactus,308
Townsendia incana,Hoary Townsend Daisy,306
Trachemys scripta,Pond Slider,302
Celtis reticulata,netleaf hackberry,298
Dysdera crocata,Woodlouse Spider,296
Egretta thula,Snowy Egret,295
Masticophis taeniatus,Striped Whipsnake,295
Sphaeralcea ambigua,apricot mallow,295
Gopherus agassizii,Mojave Desert Tortoise,293
Sympetrum corruptum,Variegated Meadowhawk,293
Phacelia crenulata,Notch-leaf Scorpionweed,292
Erigeron divergens,spreading fleabane,291
Sceloporus magister,Desert Spiny Lizard,291
Bombus griseocollis,Brown-belted Bumble Bee,289
Eriogonum ovalifolium,cushion buckwheat,283
Betula occidentalis,water birch,281
Toxicoscordion paniculatum,foothill deathcamas,278
Leucophaeus pipixcan,Franklin's Gull,276
Equisetum hyemale,rough horsetail,271
Penstemon utahensis,Utah Beardtongue,269
Phlox austromontana,mountain phlox,268
Larrea tridentata,Creosote Bush,266
Eriogonum corymbosum,crispleaf buckwheat,263
Epilobium canum,California fuchsia,261
Sphaeralcea parvifolia,Small-leaf Globemallow,261
Atriplex confertifolia,Shadscale Saltbush,259
Cymopterus longipes,Longstalk Springparsley,258
Aspidoscelis velox,Plateau Striped Whiptail,257
Selasphorus platycercus,Broad-tailed Hummingbird,256
Vulpes vulpes,Red Fox,256
Helianthus petiolaris,prairie sunflower,256
Agropyron cristatum,Crested Wheatgrass,255
Crotaphytus bicinctores,Desert Collared Lizard,253
Petrochelidon pyrrhonota,Cliff Swallow,251
Erysimum capitatum,Western Wallflower,251
Phyciodes pulchella,Field Crescent,251
Anaxyrus microscaphus,Arizona Toad,250
Sialia mexicana,Western Bluebird,249
Clematis ligusticifolia,Western White Clematis,246
Ammopelmatus,North American Jerusalem Crickets,246
Dasymutilla vestita,,246
Physocarpus malvaceus,mallow-leaf ninebark,246
Parthenocissus quinquefolia,Virginia creeper,245
Pseudostellaria jamesiana,tuber starwort,245
Cleomella lutea,yellow beeplant,245
Fallugia paradoxa,Apache plume,243
Hyla arenicolor,Canyon Tree Frog,241
Mirabilis multiflora,Colorado Four o'Clock,241
Ribes montigenum,mountain gooseberry,241
Aechmophorus clarkii,Clark's Grebe,240
Acmaeodera diffusa,,240
Polioptila caerulea,Blue-gray Gnatcatcher,238
Sylvilagus nuttallii,Mountain Cottontail,238
Eriogonum racemosum,Redroot Buckwheat,238
Malacosoma californica,Western Tent Caterpillar Moth,236
Euphorbia fendleri,Fendler's Sandmat,235
Astragalus cibarius,Browse Milkvetch,235
Ornithogalum umbellatum,common star-of-Bethlehem,233
Charina bottae,Northern Rubber Boa,233
Brephidium exilis,Western Pygmy-Blue,232
Regulus calendula,Ruby-crowned Kinglet,232
Gaillardia pinnatifida,red dome blanketflower,230
Aquila chrysaetos,Golden Eagle,229
Phalangium opilio,European Harvestman,229
Vinca major,greater periwinkle,227
Ammospermophilus leucurus,White-tailed Antelope Squirrel,226
Phrynosoma platyrhinos,Desert Horned Lizard,224
Buglossoides arvensis,corn gromwell,223
Hackelia patens,Spotted Stickseed,223
Neotamias minimus,Least Chipmunk,222
Neotamias rufus,Hopi Chipmunk,222
Rusavskia elegans,Elegant Sunburst Lichen,220
Cylindropuntia echinocarpa,Silver Cholla,218
Physaria chambersii,Chambers' twinpod,217
Heuchera rubescens,pink alumroot,214
Ipomopsis tenuituba,slendertube skyrocket,213
Penstemon whippleanus,Whipple's penstemon,212
Tetraneuris acaulis,Stemless Four-nerved Daisy,211
Spinus pinus,Pine Siskin,211
Burnsius communis,Common Checkered-Skipper,211
Amphispiza bilineata,Black-throated Sparrow,208
Cynomys parvidens,Utah Prairie Dog,208
Arctium minus,lesser burdock,208
Hydrophyllum occidentale,western waterleaf,208
Libellula saturata,Flame Skimmer,206
Chondestes grammacus,Lark Sparrow,204
Numenius americanus,Long-billed Curlew,203
Primula parryi,Parry's primrose,203
Cylindropuntia whipplei,Whipple Cholla,203
Aquilegia chrysantha,golden columbine,200
Sympetrum semicinctum,Band-winged Meadowhawk,199
Xanthium strumarium,rough cocklebur,196
Plebejus melissa,Melissa Blue,196
Rhus trilobata,Skunkbush Sumac,196
Asperugo procumbens,Madwort,194
Oenothera lavandulifolia,lavenderleaf sundrops,193
Nasturtium officinale,watercress,192
Lepus californicus,Black-tailed Jackrabbit,191
Krascheninnikovia lanata,Winterfat,189
Steatoda triangulosa,Triangulate Combfoot,188
Eriogonum alatum,Winged Buckwheat,187
Araneus gemmoides,Cat-faced Orbweaver,187
Descurainia sophia,flixweed,185
Pseudacris maculata,Boreal Chorus Frog,184
Bassia scoparia,summer-cypress,184
Symphyotrichum chilense,Pacific Aster,183
Haemorhous cassinii,Cassin's Finch,183
